POSITION_TITLE,RESUME_NUMBER,QUALIFICATIONS,EDUCATION_TYPE,SCHOOL_TYPE,EDUCATION_MAJOR,EXPERIENCE_LENGTH,AWORDS,COMMUNITY SERVICE,VOLUNTEERING,DRIVERS_LICENSE_AVAILABILITY,SKILLS_COUNT,SKILLS,Language,Category
DFW PERSONAL CHEF,11209758,"['microsoft word', 'excel (spreadsheets', 'pivot tables', 'formulas', 'formatting)', 'powerpoint', 'access', 'outlook google data analytics', 'search engine optimization (seo) and web metrics social media tools hootsuite and hashtagify cloud management and security salesforce customer relationship management quickbooks 42 cpe credits', 'mastering quickbooks level 3 certified']",2.0,3.0,Business Management,8,0,0,0,0,4.0,"['administrative', 'ads', 'arabic', 'business']",3.0,CHEF
SENIOR BANQUET CHEF,23807940,set(),2.0,2.0,Business Administration,0,0,0,0,0,6.0,"['business operations expertise', 'inventory control and record keeping', 'trained in performance and wage reviews', 'natural leader', 'service-oriented', 'strong work ethic']",6.0,CHEF
BANQUETTE SOUS CHEF,29775391,set(),1.0,2.0,Bakeryssistant,0,0,0,0,0,27.0,"['beautiful presentation of food', 'institutional and batch cooking', 'cake decorating expertise', 'strong attention to safe food handling procedures', '[mediterranean ]', 'cuisine expert', 'effective planner', 'extensive catering background', 'food presentation talent', 'hospitality and service industry background', 'menu marketing expertise', 'special events planning', 'staff training', 'skilled waitstaff', 'catering', 'inventory management systems', 'courteous and helpful', 'hotel operations and management', 'event planning and coordination', 'pos systems', 'hospitality background', 'five-star hotel experience', 'resort experience', 'food and beverage services', 'natural leader', 'team building', 'skilled negotiator']",1.0,CHEF
CHEF INSTRUCTOR PROFESSOR,53265899,"['excellent leadership', 'partners well with others', 'proved ability to plan', 'organize', 'and manage business', 'human resources leadership', 'community outreach', 'operations start-up and analytical']",2.0,2.0,Business Management,9,0,0,0,0,12.0,"['for improvement', 'organizational restructure and change', 'amazing work ethic', 'great motivator', 'builds great teams to achieve superior results', 'organized', 'team leadership', 'microsoft office tools', 'staff development', 'motivation and training programs', 'event management and promotion', 'performance and cost']",1.0,CHEF
SENIOR EXECUTIVE CHEF,29772450,set(),,3.0,,23,0,0,0,0,17.0,"['compliance audits', 'concept', 'consulting', 'content', 'special events', 'fame', 'government', 'leadership', 'leadership skills', 'marketing', 'outside sales', 'retail', 'safety', 'seminars', 'servers', 'staff development', 'workshops']",1.0,CHEF
PASTRY CHEF /SERVER,21334981,['strong organizational'],,2.0,,10,1,1,1,1,30.0,"['administrative assistant', 'administrative support', 'behavioral health', 'conflict resolution', 'cooking', 'cpr', 'customer service', 'special events', 'first aid', 'goal setting', 'instructor', 'inventory', 'team development', 'logistics', 'marketing', 'excel', 'microsoft office', 'payment processing', 'quality control', 'reporting', 'restaurant operations', 'safety', 'selling', 'sales', 'sales reports', 'supervising', 'supervision', 'type', 'vendor relations', 'workshops']",1.0,CHEF
FOOD PREP CHEF,10276858,"['kitchen productivity', 'basic knife']",1.0,1.0,Appliedcience,4,0,0,0,0,11.0,"['highly skilled in cooking and preparing a variety of cuisines', 'inborn ability to explore new cooking avenues', 'thorough understanding of sanitation needs of the kitchen', 'operate kitchen equipment such as ovens and grills for cooking purposes', ""maintain knowledge of all recipes so that the head chef's place can be filled in effectively in case of absenteeism"", 'summary', 'exceptional culinary insight.', 'knowledge of standard food preparation', 'ability to work in a high volume environment', 'chef in preparing exceptional meals', 'motivated food serving professional with 5+ years food and beverage experience in casual and fine dining.']",1.0,CHEF
MANAGER AND EXECUTIVE CHEF,10588874,set(),,3.0,,6,0,0,0,0,15.0,"['budgeting', 'multi-business operations management', 'new business development', 'profit generation', 'food safety', 'quality management', 'customer relations', 'vendor negotiations', 'vendor partnerships', 'time and resource optimization', 'inventory control and management', 'weekly payroll', 'policies', 'safety', 'work flow']",1.0,CHEF
FOOD PREPARATION WORKERS/GRILL CHEF,35157762,"['team building and project management', 'cross functional team leadership', 'proficient in food preparation and cooking crew leader', 'team player', 'gourmet chef', 'pastry chef', 'gourmet cuisines', 'baker', 'proficient in food preparation and cooking', 'food service', 'sous chef', 'pastry chef', 'line cook', 'prep', 'executive chef', 'sous chef', 'pastry cook', 'hospitality & culinary management (9 years 6 months)', 'menu developement (7 years 9 months)', 'restaurant management/food service (10 years 9 months)', 'grill cook', 'deep fryer', 'beverage designer', 'food & beverage service', 'restaurant management/hospitality', 'prep cook and serving on line', 'microsoft word and excel/ general business', 'mcp microsoft windows 2000 certified professional', 'business and professional', 'hospitality', 'tourisim', 'culinary arts', 'team building and project management', 'cross functional team leadership', 'text __additionalinfo', 'beknown', 'terms of service -', 'privacy policy -', 'security -', 'feedback', 'highly responsible and reliable', 'works well under pressure', 'extensive hospitality background', 'safe-serv food and beverage specialist', 'serv-safe food safety understanding', 'food handlers card', 'accomplishments', 'june 2010 top of my class in original preparation! food service specialist le cordon blue culinary college june 2007 gourmet cuisine chef@your service servsafe food protection manager mcfatter technical college september 2006 certificate of diploma/completion of training internship', 'professional memberships/awards national restaurant association united workers & commercial foods gourmet chefs of america gourmet chef of the year-2008', 'awarded ""outstanding employee"" in 2010']",,2.0,,1,1,1,1,1,58.0,"[': food & beverage service', 'restaurant management/hospitality', 'prep cook and serving on line gourmet.', 'march 2010', 'to', 'may 2013', 'company name', 'city', 'state', 'grill chef', '3 years 2 months) * aventura', 'florida prepared all line foods & desserts in a timely fashion per customer request.', 'skills: pastry chef', 'gourmet cuisines', 'baker', 'hospitality & culinary management', 'menu developement', 'restaurant management/food service master.', 'april 2001', 'to', 'august 2010', 'company name', 'city', 'state', 'grill master', '9 years 4 months) * hallandale beach', 'florida.', 'grill all steaks to perfection per customer orders & special requests.', 'skills: grill cook', 'deep fryer', 'beverage designer.', 'february 2008', 'to', 'october 2009', 'company name', 'city', 'state', 'prep chef', '1 years 8 months) * davie', 'florida.', 'sales vendor', 'team sales flyers', 'display menu development/specials.', 'skills: proficient in food preparation and cooking', 'hospitality & culinary management,.', 'menu developement', 'restaurant management/food service.', 'september 1995', 'to', 'december 2000', 'company name', 'city', 'state', 'crew leader and kitchen manager', 'assisted guests with making menu choices in an informative and helpful fashion.maintained knowledge of current menu items', 'garnishes', 'ingredients and preparation methods.delivered exceptional service by greeting and serving customers in a timely', 'friendly manner.appropriately suggested additional items to customers to increase restaurant sales.answered questions about menu selections and made recommendations when requested.']",1.0,CHEF
PERSONAL/ PRIVATE CHEF,13212436,set(),1.0,1.0,Appliedcience,0,0,0,0,0,59.0,"['kitchen design & workflows', 'operations management', 'product costing / cost control', 'innovative menu development', 'team building & leadership', 'quality & customer service', 'new restaurant openings 7', 'revenue growth / p&l', 'performance management', 'imenupro', 'aloha', 'microsoft office suite', 'solomon', 'quest', 'eteac', 'eventmaster', 'caterease', 'food plating and presentation', 'forecasting and planning', 'kitchen equipment operation and maintenance', 'operations management', 'business process', 'negotiation', 'unique', 'com', 'operations management', 'ca', 'optimization', 'cooking', 'performance management', 'cost control', 'personnel', 'clients', 'processes', 'client', 'purchasing', 'customer service', 'quality', 'dc', 'quality control', 'direction', 'quality management', 'english', 'quest', 'financial management', 'reception', 'focus', 'recruitment', 'greek', 'research', 'italian', 'retail', 'kronos', 'sales', 'team building', 'scheduling', 'recipes and menu planning', 'payroll and scheduling', 'menu planning']",4.0,CHEF
CHEF AND RESTAURANT MANAGER,15261348,"['focus on portion and cost control', 'high volume production capability', 'orchestrated a successful profit and loss statement', 'inventory management control', 'servsafe certified', 'utilized systems to successful cost', 'cross training ability', 'successfully implemented front and back of the house training and guideline program', 'food', 'cost', 'control specialist', 'skillful kitchen staff trainer', 'accomplishments', 'successfully managed a kitchen staff of 15', 'employees during high volume dinner services for more than125']",2.0,3.0,Specalized Culinary,25,0,0,0,0,3.0,"['account management', 'project management', 'computer proficient']",1.0,CHEF
EXECUTIVE SOUS CHEF,27662298,set(),2.0,3.0,CULINARY ARTS,5,0,0,0,0,15.0,"['staff development and training', 'inventory control', 'servsafe certified', 'operations management', ""follows propers sop's of all organizations"", 'focused and disciplined', 'cross-functional team management', 'high volume production capability', 'well-tuned palette', 'supervision and training', 'focus on portion and cost control', 'bilingual (english/spanish)', 'featured in the carroll county times', 'core accomplishments', 'successfully managed two kitchen staffs of 40 employees during high volume dinner services for more than 250 diners each']",2.0,CHEF
OWNER PERSONAL CHEF,30337969,set(),3.0,3.0,Biology,8,1,1,1,1,39.0,"['general accounting', 'biology', 'budgeting', 'business administration', 'business development', 'chemistry', 'closing', 'client', 'clients', 'customer support', 'environmental scientist', 'environmental science', 'finance', 'focus', 'genetics', 'human resource management', 'interpretation', 'marketing', 'market', 'marketing management', 'marketing and sales', 'needs assessment', 'negotiations', 'paint', 'persuasive', 'physiology', 'pricing', 'project management', 'proposal', 'quality', 'real estate', 'relationship management', 'research', 'selling', 'sales', 'sales analysis', 'strategic management', 'surveys', 'unique']",1.0,CHEF
KITCHEN UTILITY WORKER/EVENING WEEKEND CHEF,28396528,set(),1.0,1.0,Appliedcience,2,0,0,0,0,8.0,"['patient-focused care', 'compassionate and trustworthy caregiver', 'detail-oriented', 'effectively interacts with patients and families.', 'hospice care provider', 'preparation of healthy meals and snacks', 'catheter preparation and change', 'charting and record keeping']",1.0,CHEF
KITCHEN MANAGER / CATERING AND EVENTS CHEF,19268120,"['servsafe certified', 'high volume production capability', 'focused and disciplined', 'well-tuned palette', 'focus on portion and cost control', 'inventory management familiarity', 'bilingual (english/spanish', 'chef at sun tower hotel on fort lauderdale beach', 'cash handling', 'reliable and punctual', 'reliable team worker', 'neat', 'clean and professional appearance', 'comfortable standing for long time periods', 'delivers exceptional customer service', 'commercial deep fryer and slicer operation', 'proven leader', 'american cuisine expert', 'willing to work under pressure', 'excellent multi-tasker', 'culinary knowledge', 'fluent in spanish', 'restaurant management', 'ethnic foods preparation', 'food cost control specialist', 'successful kitchen staff supervisor', 'interviewing and training ability', 'non-smoker', 'plate presentation']",,2.0,,13,0,0,0,0,17.0,"['grill cook specialist', 'fry cook specialist', 'saucier', 'soups /salads specialist', 'inventory specialist', 'menu and catering planner', 'waste management specialist', 'sautee and broiler specialist', 'event planner', 'expert in preparing', 'daily specials', 'scheduling', 'profit', 'and lost specialist', 'team player', 'excellent customer service', 'training of employee']",2.0,CHEF
LA CARTE CHEF/ CHEF DE CUISINE,20691949,"['focused and disciplined', 'high volume production capability', 'focus on portion and cost control', 'inventory management familiarity', 'sous vide technique', 'effective communicator', 'organizational skils', 'task oriented']",2.0,3.0,Professionaltudies,1,0,0,0,0,30.0,"['.', '800-1100 covers in 3 hours', 'company name', '12/2009', 'to', '05/2014', 'merion cricket club', 'haverford', 'pa', 'junior sous chef', 'viking culinary center', 'haverford', 'pa', 'chef/instructor', 'cloud catering and events', 'nyc', 'ny', 'cook', 'the black rat', 'winchester', 'england', 'stage', 'craigie on main', 'cambridge', 'ma', 'stage', 'four seasons resort: aviara', 'carlsbad', 'ca', 'intern']",1.0,CHEF
LEAD CHEF & FOOD TRUCK MANAGER,26189601,"['focused and disciplined', 'high volume production capability', 'contemporary sauce work', 'well-tuned palette', 'sense of urgency', '\u200bproblem solver', 'servsafe certified', 'accomplishments', ""recipient of 2011 glenelg high school principal's award for exemplary achievements (only 13 graduates out of a class of 300 received this distinction)"", ""lead member of glenelg high school's culinary team (prostart curriculum) achieved 3rd place"", '3rd place', 'then 1st place finish in the annual prostart competition', 'successfully managed the culinary kitchens at the culinary institute of america', 'successfully worked my way up quickly through all stations at the artist point resort in walt disney world', 'serving 300-700 covers each night with a cohesive team', 'successfully branched out on my own', 'traveling to napa ca to continue pursuing my personal chef goals']",1.0,1.0,Culinary Arts,2,0,0,0,0,3.0,"['knowledge of the personal chef/private catering business', 'maintain great quality of food', 'fast and capable of handling large projects']",1.0,CHEF
CHEF INSTRUCTOR RESEARCHER AND RECRUITER,30826569,"['6 years dynamic lluh training and employment', 'multi-unit manager 2', '000-20', '000 daily meals', 'national and international director to 100 employees and 500+ independent contractors', 'extensive']",3.0,3.0,Human Nutrition,3,0,0,0,0,2.0,"{'quality', 'inventory'}",1.0,CHEF
PREP COOK / ASSISTANT PASTRY CHEF,91268638,set(),1.0,1.0,Thomas Edison,8,0,0,0,0,18.0,"['attention to detail', 'budget', 'cooking', 'baking', 'customer satisfaction', 'delivery', 'special events', 'hiring', 'packaging', 'policies', 'pricing', 'producing', 'proofing', 'quality', 'recruiting', 'safety', 'scheduling', 'and supervising.']",1.0,CHEF
CHEF,18036030,set(),1.0,1.0,Chesapeake High,18,0,0,0,0,10.0,"['mental health assessments', 'behavior modification', 'conflict mediation', 'data analysis and reporting', 'loading unloading trailers', 'machine operations', 'team lead', 'communication skills', 'structured value is a must', 'cleansiness and professionalism']",1.0,CHEF
SERVER TRAINER / BANQUET EVENT CAPTAIN,36366044,"['leadership / business development', 'hard-worker', 'customer acquisition', 'referral/repeat business generation', 'public speaking', 'objection handling', 'consultative sales', 'team player', 'bilingual', 'accomplishments', 'received deans list or presidents list every academic semester', 'achieved highest sales promotion in the company within 9 months', 'in two new territories', 'awarded to vector marketing\'s ""president\'s club"" in both the spring & summer campaign of 2012 (see letter or recommendation)', 'trained in negotiation and time management', 'increased customer attendance on slowest days at the bar by providing fast', 'friendly', 'and memorable service', 'named ""employee of the month"" on multiple occasions', 'field trained new hires', 'offering a model of successful performance', 'conducted interviews for over 110 applicants', 'collaborated with the branch manager to recruit and train a sales force ranked #1 branch office for “2nd summer conference sales push” (out of roughly 75 offices)', 'attended 10+ professional conferences/divisional meetings as a sales representative with members of the corporate staff']",2.0,1.0,Neuroscience Northern,4,0,0,0,0,12.0,"['other skills include: public speaking', 'leadership', 'team building', 'establishing good rapport', 'time management', 'self motivation', 'problem solving', 'ability to analyze sales as well as guest satisfaction', 'and ability to work well with others', 'additional information', 'attached are two letters of recommendations', 'multiple references are available upon request']",2.0,CHEF
TUTOR,23398733,set(),,1.0,,8,0,0,0,0,6.0,"['computer systems', 'organized', 'self starter', 'grammar', 'communicates well', '\u200b']",1.0,CHEF
PROJECT MANAGER AND PHOTOGRAPHER,29990140,"['microsoft office proficiency', 'articulate and well-spoken', 'flexible', 'social media knowledge', 'appointment setting', 'customer service-oriented', 'mail management', 'meeting planning', 'executive presentation development', 'business correspondence', 'scheduling', 'excel spreadsheets', 'professional and mature', 'strong problem solver', 'works well under pressure', 'administrative support specialist', 'self-starter', 'skilled and talented photographer', 'types 50+ words per minute', 'accomplishments', 'customer service', 'handled customers effectively by identifying needs', 'quickly gaining trust', 'approaching complex situations and resolving problems to maximize efficiency', 'administration', 'performed administration tasks such as filing', 'developing spreadsheets', 'faxing reports', 'photocopying collateral and scanning documents for inter-departmental use', 'reporting', 'maintained status reports to provide management with updated information for client projects', 'training', 'successfully trained staff in all office systems and databases', 'policies and procedures while focusing on minimizing errors and generating superior results']",2.0,3.0,History History,31,1,1,1,1,3.0,"['customer service', 'internet research', 'time management']",1.0,CHEF
INTERN,30128072,['microsoft office and stata programs'],1.0,3.0,Appliedcience,1,0,0,0,0,1.0,['basic)'],2.0,CHEF
FOOD SERVER,28176889,set(),1.0,1.0,Appliedcience,19,1,1,1,1,4.0,"['cash handling', 'professional and friendly', 'careful and active listener', 'data entry.']",1.0,CHEF
LEAD COOK COOK III,10889157,set(),1.0,2.0,Business Management,7,1,1,1,1,6.0,"['menu organization', 'kitchen management skills', 'employee management', 'scheduling management', 'very fast learner. learned new skills and knowledge with each company i worked for', 'and learned how to better serve our guests wants and needs therefore i would base most of my menus off that.']",1.0,CHEF
TABLE GAMES DEALER,19951766,"['typing speed of 98 wpm', 'powerpoint', 'word', 'access', 'excel', 'photoshop; trained to deal blackjack', ""ultimatetexas hold'em and three card poker customer service""]",1.0,1.0,Appliedcience,4,0,0,0,0,8.0,"['typing speed of 98 wpm', 'word', 'photoshop', 'excel', 'access', 'powerpoint', 'multi-tasking and organizational training', 'completed course training in customer service and confrontation at first council casino hotel']",1.0,CHEF
DEVELOPMENT SPECIALIST/HR,57262959,set(),,3.0,,0,0,0,0,0,42.0,"['benefits', 'budgets', 'coaching', 'counseling', 'client', 'client relations', 'excellent customer service', 'customer service', 'data entry', 'dependable', 'direct sales', 'documentation', 'hiring', 'human resource', 'inventory management', 'inventory', 'legal', 'director', 'marketing plans', 'marketing', 'market', 'meetings', 'works', 'motivational speaker', 'new product development', 'organizational development', 'predict', 'presenter', 'profit', 'purchasing', 'recruiting', 'recruitment', 'recruiter', 'sales', 'sales training', 'seminars', 'strategic', 'employee training', 'additional information', 'personal qualities motivated and energetic with a contagious positive attitude polished professional written and verbal communication skills creative and strategic thinker dependable', 'loyal and responsible knowledgeable with a desire for continual', 'life-long learning']",1.0,CHEF
BUSINESS MANAGER,20033302,"['microsoft word', 'excel (spreadsheets', 'pivot tables', 'formulas', 'formatting)', 'powerpoint', 'access', 'outlook and google docs', 'google data analytics', 'search engine optimization (seo) and web metrics', 'social media tools such as hootsuite', 'hashtagify and tweetdeck', 'cloud management and security', 'salesforce customer relationship management', 'quickbooks', '14 cpe credits mastering quickbooks']",2.0,3.0,Business Management,8,0,0,0,0,45.0,"['administrative', 'arabic', 'contracts', 'customer relationship management', 'client', 'customer satisfaction', 'delivery', 'energy', 'efficient', 'english', 'food safety', 'french', 'hiring', 'inspection', 'inventory management', 'managerial', 'marketing', 'market', 'access', 'excel (spreadsheets', 'outlook', 'powerpoint', '98', 'microsoft word', 'payroll', 'pivot tables', 'policies', 'product development', 'profit', 'quality', 'quickbooks', 'safety', 'sales', 'sales', 'reports', 'search engine optimization', 'servers', 'shipping', 'staffing', 'strategic', 'tax', 'tax preparer', 'tax returns', 'training programs', 'written']",3.0,CHEF
MATERIAL LOGISTICS SPECIALIST,24709432,set(),2.0,3.0,Business Administration,0,0,0,0,0,36.0,"['administrative', 'business administration', 'clerical', 'ca', 'counseling', 'client', 'clients', 'delivery', 'forms', 'inventory', 'machinery', 'materials', 'excel', 'exchange', 'mail', 'power point', 'microsoft word', 'monitors', 'operations management', 'personnel', 'pick', 'receiving', 'recording', 'repairs', 'sabre', 'scanning', 'shipping', 'supervisor', 'warehousing', 'word perfect', 'workflow', 'additional information', 'citizenship: us', 'veterans preference: vra / 30%', 'honors', 'awards']",1.0,CHEF
CUSTOMER SERVICE REP,62555739,set(),1.0,2.0,Appliedcience,0,0,0,0,0,22.0,"['autocad', 'autocad civil 3d', 'civil engineering basics', 'adobe illustrator', '3ds max design', 'autocad inventor pro', 'revit', 'architectural knowledge', 'ability to work under pressure', 'teamwork', 'decision-making strength', 'deadline-oriented', 'customer service', 'critical thinking', 'ms windows proficient', 'creative problem solver', 'quick learner', 'strategic sales knowledge', 'multi-line phone talent', 'self-motivated', 'strong verbal communication', 'risk management processes and analysis']",1.0,CHEF
ADMINISTRATIVE ASSISTANT,31547476,set(),1.0,2.0,Appliedcience,6,0,0,0,0,38.0,"['accounting', 'bookkeeping', 'cash register', 'cash registers', 'consultant', 'credit', 'electronics', 'general manager', 'inventory', 'machinery', 'market', 'medisoft', 'meetings', 'access', 'excel', 'money', 'microsoft office', 'office', 'outlook', 'powerpoint', 'word', 'newsletters', 'payroll', 'policies', 'quality', 'quickbooks', 'recording', 'safety', 'sales', 'tables', 'tax preparation', 'phones', 'phone', 'answer phones', 'trade shows', 'troubleshooting', 'website', 'workshops']",1.0,CHEF
HEALTH CARE ADMINISTRATOR,12254068,set(),2.0,3.0,Risk and,23,0,0,0,0,43.0,"['advertising', 'agency', 'balance', 'benefits', 'budget', 'consultant', 'creativity', 'address customer complaints', 'client', 'customer satisfaction', 'customer service experience', 'customer service', 'customer service training', 'special events', 'fashion', 'features', 'financial', 'home health', 'hospice', 'inspiration', 'insurance', 'legal', 'letters', 'director', 'marketing strategies', 'marketing', 'market', 'marketing material', 'meetings', 'office', 'win', 'nursing', 'patient flow', 'quality', 'sales', 'surgery', 'teamwork', 'phone', 'training programs', 'additional information', 'personal catering business: as a hobby', 'creating memorable events for military functions', 'wedding and party planning. developed training program for 2 and 3 session cake decorating classes for both adults and children.']",1.0,CHEF
CATEGORY BRAND MANAGER,11432686,set(),3.0,3.0,Businessdministration,19,0,0,0,0,1.0,['sharepoint'],1.0,CHEF
HOUSEKEEPER,25452321,set(),1.0,1.0,Appliedcience,14,0,0,0,0,6.0,"['honest', 'dedicated', 'dependable', 'additional information', 'i believe being kind and friendly is the best way to go through life. i enjoy spending time with my family', 'friends and having fun. i have a huge desire to learn new things and look at life as an adventure.']",1.0,CHEF
ACCOUNT DIRECTOR,28230807,"['certified executive chef', 'certification in nutrition', 'certified in human resource management and supervision', 'american culinary federation member', 'certification in professional cooking theories', 'graduate of the culinary academy of south dakota']",1.0,2.0,Appliedcience,8,0,0,0,0,22.0,"['coaching', 'cooking', 'cost control', 'counseling', 'clients', 'client relations', 'creative development', 'hiring', 'hr', 'human resources management', 'instructing', 'inventory', 'inventory control', 'director', 'meetings', 'personnel management', 'profit', 'purchasing', 'quality control', 'safety', 'sop', 'supervision']",1.0,CHEF
OWNER/CHEF,15354126,"['sous vide technique', 'strong butchery']",,1.0,,6,0,0,0,0,1.0,['enforcing strict health and hygiene standards in the cooking & food preparation area. strong desire to instill good practice and procedures in those working with you. physically fit and able to lift heavy goods and stand for long periods of time.'],1.0,CHEF
KINDERGARTEN TEACHER,12155206,"['microsoft office', 'word', 'powerpoint', 'excel', 'outlook', 'inspiration software', 'publisher software', 'quick learner/adaptable', 'strong typing']",3.0,1.0,BUSINESS MANAGEMENT,27,1,1,1,1,10.0,"['lifelong learner', 'proofreading/grammar', 'strong interpersonal skills', 'resourceful & adaptable', 'professional and mature', 'self-starter/self-directed', 'results-oriented', 'flexible & adaptable', 'time management', 'meticulous attention to detail']",1.0,CHEF
SUBSTITUTE PARA PROFESSIONAL,27298953,"['operations management', 'excel in process development and implementation', 'reports generation and analysis', 'training and development', 'project management', 'proficiency in human resource management', 'relationship management', 'file/records maintenance', 'event planning and scheduling', 'microsoft office', 'accomplishments', 'named employee of the year at plp composite technologies inc for performance above and beyond in executing dedication', 'problem resolution', 'communication and relationship management during a business crisis', 'recognized in monthly pampered chef publication as consultant nationally achieving third highest sales for a single show']",,3.0,,21,0,0,0,0,28.0,"['relationship management', 'human resources management', 'adaptable', 'advertising', 'budgets', 'contract and proposal preparation', 'customer service', 'form creation', 'instruction', 'inventory', 'marketing', 'materials development', 'meeting and event planning', 'travel arrangements', 'policies', 'presentations', 'product development', 'process development', 'project plans', 'research gathering', 'trade shows', 'account management', 'accounts payable/receivable', 'business development', 'client relations', 'computer proficient', 'creative problem solving', 'domestic and international']",1.0,CHEF
EXECUTIVE CHEF PARTNER,68338341,"['servsafe certified foodmanager', 'servsafe liquor certified', '13ct caterer liquor licensee', 'florida state gaming commission licensee']",,2.0,,10,0,0,0,0,11.0,"['well versed in pos usage', 'microsoft', 'aloha and cateredge.', 'excellent communication skills', 'and the ability to work well either alone or as part of a team.', 'multi-tasking abilities and great decision making skills.', 'very detail oriented in providing exceptional food and ensuring that all guests expectations are met and exceeded.', 'additional information', 'a complete listing of all references', 'awards', 'and accolades will be furnished upon request.']",1.0,CHEF
LINE CHEF/EXPEDITER,22349169,"['focused and disciplined', 'high volume production capability', 'well-tuned palette', 'focus on portion and cost control', 'inventory management familiarity', 'bilingual (english/[other language])']",1.0,1.0,Coursework in,15,0,0,0,0,12.0,"['coaching', 'cooking', 'counseling', 'customer satisfaction', 'delivery', 'hiring', 'pricing', 'quality', 'recruiting', 'safety', 'scheduling', 'supervising']",1.0,CHEF
FINANCE,11877150,set(),1.0,1.0,Appliedcience,0,0,0,0,0,9.0,"['superior time management', 'customer relations', 'self-motivated professional', 'excellent communication skills', 'strong interpersonal skills', 'multilingual in', 'english and indonesian languange', 'proficient in', 'ms. office']",1.0,FINANCE
FINANCE,86549455,['exceptional interpersonal'],4.0,3.0,Industrial Organizational,8,1,1,1,1,3.0,"['project management', 'customer satisfaction', 'mentoring']",1.0,FINANCE
FINANCE MANAGER,26530575,set(),,3.0,,1,1,1,1,1,90.0,"['accounting', 'accountant', 'accounting system', 'accruals', 'acquisitions', 'go-live', 'ap', 'ar', 'backup', 'balance sheet', 'bank reconciliations', 'benefits administration', 'billing', 'book', 'budgeting', 'budgets', 'budget', 'business development', 'business processes', 'cash management', 'closing', 'coaching', 'compliance audits', 'compliance audit', 'compliance reporting', 'consulting', 'conversion', 'certified public accountant 1', 'certified public accountant', 'credit', 'client', 'clients', 'documentation', 'edge', 'electronic health records', 'external auditor', 'finance', 'financial', 'financial analysis', 'financial audits', 'financial audit', 'financial reporting', 'financial reporting requirements', 'financial statements', 'preparation of financial statement', 'funds', 'general ledger', 'government', 'grants', 'health care industry', 'home-health', 'hris', 'human resources', 'internal auditor', 'inventory', 'leadership', 'legal', 'director', 'management skills', 'meetings', 'excel', 'office', 'microsoft word', 'modeling', 'enterprise', 'payroll', 'payroll processing', 'policies', 'presenting', 'processes', 'process improvement', 'profit', 'public safety', 'quality', 'real-estate', 'recruitment', 're-engineering', 'reporting', 'research', 'risk assessment', 'risk management', 'social services', 'strategic plans', 'supervising', 'surgery', 'tax', 'variance analysis', 'workflow', 'written', 'year-end']",1.0,FINANCE
FINANCE ANALYST,23955183,set(),2.0,3.0,Business Administration,3,0,0,0,0,10.0,"['analytical skills', 'variance analysis', 'complex problem solving', 'financial modeling', 'self-motivated professional', 'ms office suite', 'interpersonal skills', 'leadership skills', 'accomplishments', 'phi sigma sigma sorority']",1.0,FINANCE
FINANCE CONSULTANT,24854026,['financial modeling'],3.0,3.0,Business Administration,11,0,0,0,0,39.0,"['ad', 'b2b', 'budget', 'business intelligence', 'charts', 'credit', 'data analysis', 'data warehouses', 'databases', 'decision-making', 'executive management', 'senior management', 'external audits', 'finance', 'fp&a', 'financial reporting', 'macros', 'marketing', 'access', 'excel', 'month end close', 'negotiations', 'enterprise', 'optimization', 'oracle', 'payment processing', 'pivot tables', 'processes', 'processors', 'reporting', 'retail', 'risk management', 'sales', 'sarbanes oxley', 'sql', 'strategy', 'system administrator', 'teradata', 'vba']",1.0,FINANCE
FINANCE MANAGER,48285304,"['operations management', 'customer relations', 'purchasing & procurement', 'fleet management', 'budgeting & forecasting', 'audits', 'logistics', 'accounting', 'p&l management', 'business development', 'quality assurance & control', 'collection management', 'proficient in ms excel', 'ms access', 'ms project', 'quicken', 'ms powerpoint', 'inoviswork', 'sap', 'oracle erp', 'kronos', 'accomplishments', 'increased output by', '32 % through', 'reorganization of locations to maximize efficiency', 'reduced staff turnover by 45% in one year by implementing several well-received team and morale-building programs', 'qualified location for 2 million dollar remodel by increasing sales 30% through retraining of sales team', 'created critical kpis to track and improve on-time delivery', 'customer issues and safety statistics', 'boosted customer satisfaction ratings by', '40 % in under', '4', 'months']",2.0,3.0,Political Science,14,0,0,0,0,40.0,"['accounting', 'budgeting', 'budgets', 'budget', 'business development', 'business management', 'business processes', 'business solutions', 'customer relations', 'erp', 'financial', 'financial management and control', 'forecasting', 'hiring', 'inventory', 'kronos', 'logistics', 'director', 'management reporting', 'ms access', 'ms excel', 'ms powerpoint', 'ms project', 'negotiating', 'operations management', 'oracle', 'organizing', 'personnel', 'policies', 'processes', 'procurement', 'product management', 'progress', 'proposal', 'purchasing', 'quality', 'quality assurance', 'quicken', 'sales', 'sap']",1.0,FINANCE
